,estacion,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,Linea
desde,,2018-04-10 05:30:00,2018-04-10 05:45:00,2018-04-10 06:00:00,2018-04-10 06:15:00,2018-04-10 06:30:00,2018-04-10 06:45:00,2018-04-10 07:00:00,2018-04-10 07:15:00,2018-04-10 07:30:00,2018-04-10 07:45:00,2018-04-10 08:00:00,2018-04-10 08:15:00,2018-04-10 08:30:00,2018-04-10 08:45:00,2018-04-10 09:00:00,2018-04-10 09:15:00,2018-04-10 09:30:00,2018-04-10 09:45:00,2018-04-10 10:00:00,2018-04-10 10:15:00,2018-04-10 10:30:00,2018-04-10 10:45:00,2018-04-10 11:00:00,2018-04-10 11:15:00,2018-04-10 11:30:00,2018-04-10 11:45:00,2018-04-10 12:00:00,2018-04-10 12:15:00,2018-04-10 12:30:00,2018-04-10 12:45:00,2018-04-10 13:00:00,2018-04-10 13:15:00,2018-04-10 13:30:00,2018-04-10 13:45:00,2018-04-10 14:00:00,2018-04-10 14:15:00,2018-04-10 14:30:00,2018-04-10 14:45:00,2018-04-10 15:00:00,2018-04-10 15:15:00,2018-04-10 15:30:00,2018-04-10 15:45:00,2018-04-10 16:00:00,2018-04-10 16:15:00,2018-04-10 16:30:00,2018-04-10 16:45:00,2018-04-10 17:00:00,2018-04-10 17:15:00,2018-04-10 17:30:00,2018-04-10 17:45:00,2018-04-10 18:00:00,2018-04-10 18:15:00,2018-04-10 18:30:00,2018-04-10 18:45:00,2018-04-10 19:00:00,2018-04-10 19:15:00,2018-04-10 19:30:00,2018-04-10 19:45:00,2018-04-10 20:00:00,2018-04-10 20:15:00,2018-04-10 20:30:00,2018-04-10 20:45:00,2018-04-10 21:00:00,2018-04-10 21:15:00,2018-04-10 21:30:00,2018-04-10 21:45:00,2018-04-10 22:00:00,2018-04-10 22:15:00,2018-04-10 22:30:00,2018-04-10 22:45:00,2018-04-10 23:00:00,2018-04-10 23:15:00,2018-04-10 23:30:00,2018-04-10 23:45:00,
0,9 de julio,8.0,14.0,30.0,47.0,79.0,120.0,161.0,185.0,166.0,192.0,286.0,386.0,391.0,333.0,294.0,319.0,391.0,317.0,285.0,322.0,309.0,382.0,344.0,324.0,394.0,357.0,421.0,481.0,473.0,437.0,413.0,469.0,494.0,402.0,463.0,408.0,467.0,460.0,566.0,574.0,457.0,455.0,570.0,554.0,476.0,495.0,680.0,616.0,565.0,608.0,846.0,656.0,555.0,501.0,429.0,362.0,293.0,254.0,202.0,163.0,133.0,118.0,149.0,104.0,91.0,97.0,92.0,65.0,37.0,33.0,12.0,13.0,0.0,0.0,D
1,Acoyte,40.0,33.0,94.0,144.0,220.0,364.0,524.0,766.0,804.0,765.0,909.0,998.0,867.0,975.0,955.0,982.0,887.0,774.0,695.0,629.0,614.0,543.0,585.0,528.0,619.0,567.0,676.0,647.0,603.0,690.0,676.0,615.0,578.0,549.0,553.0,582.0,515.0,521.0,481.0,524.0,516.0,491.0,547.0,535.0,490.0,478.0,632.0,559.0,675.0,595.0,596.0,547.0,598.0,444.0,483.0,420.0,378.0,369.0,453.0,355.0,307.0,204.0,277.0,206.0,205.0,172.0,166.0,132.0,87.0,61.0,27.0,2.0,0.0,0.0,A
2,Aguero,18.0,26.0,66.0,78.0,134.0,246.0,395.0,572.0,673.0,633.0,681.0,728.0,734.0,640.0,670.0,583.0,599.0,529.0,497.0,448.0,414.0,413.0,413.0,425.0,451.0,471.0,471.0,446.0,502.0,458.0,502.0,457.0,463.0,408.0,476.0,504.0,416.0,395.0,421.0,445.0,422.0,470.0,525.0,545.0,521.0,491.0,622.0,527.0,576.0,505.0,622.0,498.0,511.0,455.0,435.0,422.0,397.0,352.0,399.0,340.0,259.0,266.0,266.0,172.0,186.0,127.0,136.0,66.0,62.0,52.0,33.0,15.0,0.0,0.0,D
3,Alberti,11.0,8.0,23.0,21.0,40.0,50.0,79.0,107.0,103.0,106.0,91.0,128.0,130.0,99.0,150.0,115.0,122.0,115.0,128.0,145.0,156.0,137.0,176.0,166.0,186.0,193.0,264.0,260.0,213.0,194.0,215.0,229.0,256.0,207.0,285.0,235.0,206.0,225.0,239.0,266.0,242.0,319.0,266.0,257.0,299.0,296.0,344.0,263.0,259.0,259.0,338.0,295.0,304.0,296.0,285.0,275.0,249.0,177.0,293.0,200.0,181.0,133.0,205.0,130.0,83.0,81.0,86.0,46.0,27.0,35.0,21.0,4.0,0.0,0.0,A
4,Angel Gallardo,34.0,49.0,98.0,121.0,214.0,309.0,514.0,648.0,875.0,924.0,1058.0,1045.0,961.0,946.0,998.0,1037.0,880.0,798.0,739.0,660.0,605.0,639.0,708.0,658.0,573.0,599.0,672.0,742.0,685.0,636.0,792.0,689.0,665.0,586.0,578.0,624.0,620.0,528.0,534.0,608.0,511.0,462.0,575.0,630.0,602.0,519.0,582.0,615.0,613.0,603.0,773.0,693.0,707.0,481.0,555.0,495.0,342.0,303.0,379.0,337.0,296.0,287.0,317.0,242.0,191.0,173.0,183.0,158.0,104.0,66.0,46.0,12.0,2.0,0.0,B
5,Avenida La Plata,20.0,28.0,49.0,59.0,102.0,172.0,281.0,398.0,373.0,370.0,401.0,449.0,379.0,373.0,347.0,341.0,332.0,259.0,239.0,193.0,196.0,197.0,191.0,196.0,217.0,186.0,236.0,257.0,281.0,239.0,251.0,245.0,219.0,183.0,197.0,201.0,182.0,159.0,171.0,166.0,175.0,143.0,183.0,174.0,190.0,227.0,235.0,255.0,218.0,213.0,293.0,247.0,195.0,136.0,150.0,131.0,121.0,107.0,99.0,87.0,62.0,54.0,61.0,48.0,70.0,46.0,43.0,25.0,16.0,18.0,10.0,0.0,0.0,0.0,E
6,Avenida de Mayo,13.0,13.0,33.0,47.0,60.0,68.0,86.0,107.0,115.0,121.0,138.0,146.0,143.0,136.0,137.0,181.0,172.0,180.0,174.0,168.0,206.0,229.0,276.0,258.0,212.0,291.0,267.0,298.0,275.0,204.0,304.0,288.0,251.0,302.0,390.0,302.0,307.0,329.0,635.0,431.0,303.0,340.0,447.0,306.0,298.0,352.0,503.0,367.0,353.0,320.0,513.0,354.0,345.0,287.0,320.0,191.0,197.0,153.0,211.0,177.0,174.0,130.0,165.0,139.0,188.0,177.0,110.0,60.0,44.0,25.0,6.0,0.0,0.0,0.0,C
7,Boedo,22.0,27.0,41.0,64.0,87.0,119.0,189.0,207.0,224.0,216.0,270.0,289.0,282.0,267.0,300.0,297.0,269.0,229.0,224.0,237.0,224.0,184.0,200.0,212.0,169.0,198.0,207.0,222.0,195.0,222.0,221.0,208.0,258.0,161.0,173.0,198.0,177.0,142.0,192.0,161.0,180.0,140.0,253.0,157.0,167.0,169.0,278.0,186.0,172.0,191.0,228.0,178.0,164.0,139.0,130.0,115.0,99.0,88.0,130.0,120.0,74.0,74.0,78.0,63.0,60.0,22.0,56.0,39.0,39.0,22.0,9.0,1.0,0.0,0.0,E
8,Bolivar,16.0,28.0,64.0,71.0,74.0,113.0,148.0,150.0,155.0,154.0,138.0,166.0,176.0,203.0,184.0,231.0,231.0,200.0,249.0,330.0,258.0,286.0,372.0,357.0,400.0,414.0,548.0,829.0,616.0,562.0,672.0,610.0,552.0,577.0,720.0,633.0,743.0,732.0,1145.0,956.0,870.0,862.0,1398.0,1059.0,1066.0,1155.0,1837.0,2084.0,1843.0,1561.0,2205.0,2108.0,1445.0,1155.0,995.0,785.0,624.0,539.0,656.0,525.0,354.0,304.0,313.0,253.0,196.0,182.0,252.0,270.0,87.0,49.0,35.0,17.0,1.0,0.0,E
